frameno,left,top,right,bottom
66,786.5,237.3,802.9,254.6
67,786.82,238.21,803.22,255.51
68,787.14,239.12,803.54,256.42
69,787.45,240.02,803.85,257.32
70,787.77,240.93,804.17,258.23
71,788.09,241.84,804.49,259.14
72,788.41,242.75,804.81,260.05
73,788.72,243.65,805.12,260.95
74,789.04,244.56,805.44,261.86
75,789.36,245.47,805.76,262.77
76,789.68,246.38,806.08,263.68
77,790.11,247.47,806.51,264.77
78,790.54,248.55,806.94,265.85
79,790.97,249.64,807.37,266.94
80,791.4,250.73,807.8,268.03
81,791.83,251.82,808.23,269.12
82,792.26,252.91,808.66,270.21
83,792.69,254.0,809.09,271.3
84,793.12,255.09,809.52,272.39
85,793.56,256.18,809.96,273.48
86,793.99,257.27,810.39,274.57
87,794.37,258.24,810.77,275.54
88,794.76,259.22,811.16,276.52
89,795.14,260.19,811.54,277.49
90,795.53,261.17,811.93,278.47
91,795.92,262.15,812.32,279.45
92,796.3,263.12,812.7,280.42
93,796.69,264.1,813.09,281.4
94,797.07,265.07,813.47,282.37
95,797.46,266.05,813.86,283.35
96,797.84,267.02,814.24,284.32
97,798.25,268.07,814.65,285.37
98,798.66,269.11,815.06,286.41
99,799.07,270.16,815.47,287.46
100,799.48,271.2,815.88,288.5
101,799.89,272.24,816.29,289.54
102,800.3,273.29,816.7,290.59
103,800.7,274.33,817.1,291.63
104,801.11,275.37,817.51,292.67
105,801.52,276.42,817.92,293.72
106,801.93,277.46,818.33,294.76
107,802.22,278.41,818.62,295.71
108,802.52,279.37,818.92,296.67
109,802.81,280.32,819.21,297.62
110,803.11,281.27,819.51,298.57
111,803.4,282.23,819.8,299.53
112,803.7,283.18,820.1,300.48
113,803.99,284.13,820.39,301.43
114,804.29,285.09,820.69,302.39
115,804.58,286.04,820.98,303.34
116,804.88,286.99,821.28,304.29
117,805.22,288.44,821.62,305.74
118,805.56,289.9,821.96,307.2
119,805.9,291.35,822.3,308.65
120,806.24,292.8,822.64,310.1
121,806.58,294.25,822.98,311.55
122,806.92,295.7,823.32,313.0
123,807.26,297.16,823.66,314.46
124,807.6,298.61,824.0,315.91
125,807.94,300.06,824.34,317.36
126,808.28,301.51,824.68,318.81
127,808.67,304.08,825.07,321.38
128,809.05,306.64,825.45,323.94
129,809.44,309.2,825.84,326.5
130,809.82,311.77,826.22,329.07
131,810.21,314.33,826.61,331.63
132,810.6,316.9,827.0,334.2
133,810.98,319.46,827.38,336.76
134,811.37,322.02,827.77,339.32
135,811.75,324.59,828.15,341.89
136,812.14,327.15,828.54,344.45
137,812.31,329.48,828.71,346.78
138,812.48,331.8,828.88,349.1
139,812.65,334.13,829.05,351.43
140,812.82,336.46,829.22,353.76
141,813.73,338.76,830.13,356.06
142,814.63,341.07,831.03,358.37
143,815.6,343.03,832.0,360.33
144,814.45,337.74,830.85,355.04
146,812.14,327.15,828.54,344.45
147,812.14,327.15,828.54,344.45
148,812.14,327.15,828.54,344.45
149,812.14,327.15,828.54,344.45
150,812.14,327.15,828.54,344.45
151,812.14,327.15,828.54,344.45
152,812.14,327.15,828.54,344.45
153,812.14,327.15,828.54,344.45
154,812.14,327.15,828.54,344.45
155,812.14,327.15,828.54,344.45
156,812.14,327.15,828.54,344.45
157,812.14,327.15,828.54,344.45
158,812.14,327.15,828.54,344.45
159,812.14,327.15,828.54,344.45
160,812.14,327.15,828.54,344.45
161,812.14,327.15,828.54,344.45
162,812.14,327.15,828.54,344.45
163,812.14,327.15,828.54,344.45
164,812.14,327.15,828.54,344.45
165,812.14,327.15,828.54,344.45
166,812.14,327.15,828.54,344.45
167,812.14,327.15,828.54,344.45
168,812.14,327.15,828.54,344.45
169,812.14,327.15,828.54,344.45
170,812.14,327.15,828.54,344.45
171,812.14,327.15,828.54,344.45
172,812.14,327.15,828.54,344.45
173,812.14,327.15,828.54,344.45
174,812.14,327.15,828.54,344.45
175,812.14,327.15,828.54,344.45
176,812.14,327.15,828.54,344.45
177,812.14,327.15,828.54,344.45
178,812.14,327.15,828.54,344.45
179,812.14,327.15,828.54,344.45
180,812.14,327.15,828.54,344.45
181,812.14,327.15,828.54,344.45
182,812.14,327.15,828.54,344.45
183,812.14,327.15,828.54,344.45
184,812.14,327.15,828.54,344.45
185,812.14,327.15,828.54,344.45
186,812.14,327.15,828.54,344.45
187,812.14,327.15,828.54,344.45
188,812.14,327.15,828.54,344.45
189,812.14,327.15,828.54,344.45
190,812.14,327.15,828.54,344.45
191,812.14,327.15,828.54,344.45
192,812.14,327.15,828.54,344.45
193,812.14,327.15,828.54,344.45
194,812.14,327.15,828.54,344.45
195,812.14,327.15,828.54,344.45
196,812.14,327.15,828.54,344.45
197,812.14,327.15,828.54,344.45
198,812.14,327.15,828.54,344.45
199,812.14,327.15,828.54,344.45
